========================================================================================================================
File Design Information:

Date:       14/01/22
Time:       17:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Layer        Footprint                Center-X(mil) Center-Y(mil) Rotation      PartNumber      
C1         BottomLayer  SMC_A                    -224.409      -602.362      180           CA45-A016K106T  
C2         BottomLayer  C0402                    -110.564      -620.467      270           CL05A474KA5NNNC 
C3         BottomLayer  C0402                    -62.992       -622.047      270           CL05B104KO5NNNC 
C8         BottomLayer  C0402                    181.102       -433.071      135           CL05A474KA5NNNC 
C9         BottomLayer  C0402                    279.527       -464.567      90            CL05B104KO5NNNC 
C11        BottomLayer  C0402                    -468.504      354.331       270.007820129 CL05B103KA5NNNC 
C12        BottomLayer  C0402                    -500.984      265.748       0             CL05B104KO5NNNC 
C13        BottomLayer  C0402                    -315.125      342.676       270           CL05B103KA5NNNC 
C14        BottomLayer  C0402                    -208.661      342.520       270           CL05B104KO5NNNC 
L1         TopLayer     RGB_2121_NH-Z1921RGBA-SG 301.326       -727.464      202.5         NH-Z1921RGBA-SG 
L2         TopLayer     RGB_2121_NH-Z1921RGBA-SG 393.701       -681.910      210           NH-Z1921RGBA-SG 
L3         TopLayer     RGB_2121_NH-Z1921RGBA-SG 479.340       -624.688      217.5         NH-Z1921RGBA-SG 
L4         TopLayer     RGB_2121_NH-Z1921RGBA-SG 556.777       -556.777      225           NH-Z1921RGBA-SG 
L5         TopLayer     RGB_2121_NH-Z1921RGBA-SG 624.688       -479.340      232.5         NH-Z1921RGBA-SG 
L6         TopLayer     RGB_2121_NH-Z1921RGBA-SG 681.910       -393.701      240           NH-Z1921RGBA-SG 
L7         TopLayer     RGB_2121_NH-Z1921RGBA-SG 727.464       -301.326      247.5         NH-Z1921RGBA-SG 
L8         TopLayer     RGB_2121_NH-Z1921RGBA-SG 760.571       -203.794      255           NH-Z1921RGBA-SG 
L9         TopLayer     RGB_2121_NH-Z1921RGBA-SG 780.665       -102.777      262.5         NH-Z1921RGBA-SG 
L10        TopLayer     RGB_2121_NH-Z1921RGBA-SG 787.402       0.000         270           NH-Z1921RGBA-SG 
L11        TopLayer     RGB_2121_NH-Z1921RGBA-SG 780.665       102.777       277.5         NH-Z1921RGBA-SG 
L12        TopLayer     RGB_2121_NH-Z1921RGBA-SG 760.572       203.795       285           NH-Z1921RGBA-SG 
L13        TopLayer     RGB_2121_NH-Z1921RGBA-SG 727.464       301.326       292.5         NH-Z1921RGBA-SG 
L14        TopLayer     RGB_2121_NH-Z1921RGBA-SG 681.910       393.701       300           NH-Z1921RGBA-SG 
L15        TopLayer     RGB_2121_NH-Z1921RGBA-SG 624.688       479.340       307.5         NH-Z1921RGBA-SG 
L16        TopLayer     RGB_2121_NH-Z1921RGBA-SG 556.777       556.777       315           NH-Z1921RGBA-SG 
L17        TopLayer     RGB_2121_NH-Z1921RGBA-SG 479.340       624.688       322.5         NH-Z1921RGBA-SG 
L18        TopLayer     RGB_2121_NH-Z1921RGBA-SG 393.701       681.910       330           NH-Z1921RGBA-SG 
L19        TopLayer     RGB_2121_NH-Z1921RGBA-SG 301.326       727.464       337.5         NH-Z1921RGBA-SG 
L20        TopLayer     RGB_2121_NH-Z1921RGBA-SG 203.794       760.571       345           NH-Z1921RGBA-SG 
L21        TopLayer     RGB_2121_NH-Z1921RGBA-SG 102.777       780.665       352.5         NH-Z1921RGBA-SG 
L22        TopLayer     RGB_2121_NH-Z1921RGBA-SG 0.000         787.402       0             NH-Z1921RGBA-SG 
L23        TopLayer     RGB_2121_NH-Z1921RGBA-SG -102.777      780.665       7.5           NH-Z1921RGBA-SG 
L24        TopLayer     RGB_2121_NH-Z1921RGBA-SG -203.795      760.572       15            NH-Z1921RGBA-SG 
L25        TopLayer     RGB_2121_NH-Z1921RGBA-SG -301.326      727.464       22.5          NH-Z1921RGBA-SG 
L26        TopLayer     RGB_2121_NH-Z1921RGBA-SG -393.701      681.910       30            NH-Z1921RGBA-SG 
L27        TopLayer     RGB_2121_NH-Z1921RGBA-SG -479.340      624.688       37.5          NH-Z1921RGBA-SG 
L28        TopLayer     RGB_2121_NH-Z1921RGBA-SG -556.777      556.777       45            NH-Z1921RGBA-SG 
L29        TopLayer     RGB_2121_NH-Z1921RGBA-SG -624.688      479.340       52.5          NH-Z1921RGBA-SG 
L30        TopLayer     RGB_2121_NH-Z1921RGBA-SG -681.910      393.701       60            NH-Z1921RGBA-SG 
L31        TopLayer     RGB_2121_NH-Z1921RGBA-SG -727.464      301.326       67.5          NH-Z1921RGBA-SG 
L32        TopLayer     RGB_2121_NH-Z1921RGBA-SG -760.572      203.794       75            NH-Z1921RGBA-SG 
L33        TopLayer     RGB_2121_NH-Z1921RGBA-SG -780.665      102.777       82.5          NH-Z1921RGBA-SG 
L34        TopLayer     RGB_2121_NH-Z1921RGBA-SG -787.402      0.000         90            NH-Z1921RGBA-SG 
L35        TopLayer     RGB_2121_NH-Z1921RGBA-SG -780.665      -102.777      97.5          NH-Z1921RGBA-SG 
L36        TopLayer     RGB_2121_NH-Z1921RGBA-SG -760.572      -203.795      105           NH-Z1921RGBA-SG 
L37        TopLayer     RGB_2121_NH-Z1921RGBA-SG -727.464      -301.326      112.5         NH-Z1921RGBA-SG 
